clienteid,idade,renda_anual,email,Cluster
415,21,33687.0,cliente415@exemplo.com,1
427,21,28827.0,cliente427@exemplo.com,1
429,18,32176.0,cliente429@exemplo.com,1
434,19,23575.0,cliente434@exemplo.com,1
436,25,30286.0,cliente436@exemplo.com,1
440,26,25713.0,cliente440@exemplo.com,1
443,22,32692.0,cliente443@exemplo.com,1
449,27,20186.0,cliente449@exemplo.com,1
458,23,35475.0,cliente458@exemplo.com,1
466,27,30396.0,cliente466@exemplo.com,1
469,30,40451.0,cliente469@exemplo.com,1
470,28,33365.0,cliente470@exemplo.com,1
473,26,30010.0,cliente473@exemplo.com,1
476,26,20481.0,cliente476@exemplo.com,1
481,18,20016.0,cliente481@exemplo.com,1
491,20,26322.0,cliente491@exemplo.com,1
502,28,23961.0,cliente502@exemplo.com,1
511,26,20104.0,cliente511@exemplo.com,1
519,24,23493.0,cliente519@exemplo.com,1
524,27,22765.0,cliente524@exemplo.com,1
525,25,24433.0,cliente525@exemplo.com,1
534,29,32208.0,cliente534@exemplo.com,1
536,25,35785.0,cliente536@exemplo.com,1
537,28,36639.0,cliente537@exemplo.com,1
539,28,36248.0,cliente539@exemplo.com,1
543,19,27988.0,cliente543@exemplo.com,1
548,21,22786.0,cliente548@exemplo.com,1
550,27,32159.0,cliente550@exemplo.com,1
558,26,38499.0,cliente558@exemplo.com,1
561,29,35271.0,cliente561@exemplo.com,1
572,28,22062.0,cliente572@exemplo.com,1
573,26,23612.0,cliente573@exemplo.com,1
578,27,32101.0,cliente578@exemplo.com,1
581,25,26022.0,cliente581@exemplo.com,1
585,23,34894.0,cliente585@exemplo.com,1
588,25,37258.0,cliente588@exemplo.com,1
591,23,36929.0,cliente591@exemplo.com,1
592,24,26812.0,cliente592@exemplo.com,1
593,25,31524.0,cliente593@exemplo.com,1
596,22,32547.0,cliente596@exemplo.com,1
604,25,31441.0,cliente604@exemplo.com,1
605,24,30294.0,cliente605@exemplo.com,1
610,20,21680.0,cliente610@exemplo.com,1
625,33,41487.0,cliente625@exemplo.com,1
626,20,30439.0,cliente626@exemplo.com,1
627,30,44704.0,cliente627@exemplo.com,1
632,27,33997.0,cliente632@exemplo.com,1
633,24,24916.0,cliente633@exemplo.com,1
641,29,32120.0,cliente641@exemplo.com,1
642,27,37425.0,cliente642@exemplo.com,1
643,24,27723.0,cliente643@exemplo.com,1
657,18,25741.0,cliente657@exemplo.com,1
660,28,36648.0,cliente660@exemplo.com,1
665,21,32845.0,cliente665@exemplo.com,1
678,28,22161.0,cliente678@exemplo.com,1
679,18,27353.0,cliente679@exemplo.com,1
685,19,35301.0,cliente685@exemplo.com,1
690,24,26147.0,cliente690@exemplo.com,1
693,26,29279.0,cliente693@exemplo.com,1
694,18,33271.0,cliente694@exemplo.com,1
697,27,30188.0,cliente697@exemplo.com,1
716,27,33652.0,cliente716@exemplo.com,1
720,32,40129.0,cliente720@exemplo.com,1
723,18,36883.0,cliente723@exemplo.com,1
724,21,30311.0,cliente724@exemplo.com,1
727,21,21082.0,cliente727@exemplo.com,1
730,20,31367.0,cliente730@exemplo.com,1
734,27,36428.0,cliente734@exemplo.com,1
741,26,39367.0,cliente741@exemplo.com,1
747,19,33251.0,cliente747@exemplo.com,1
751,24,37366.0,cliente751@exemplo.com,1
755,28,37553.0,cliente755@exemplo.com,1
756,25,37857.0,cliente756@exemplo.com,1
757,20,37747.0,cliente757@exemplo.com,1
758,23,21304.0,cliente758@exemplo.com,1
759,22,29377.0,cliente759@exemplo.com,1
772,28,23226.0,cliente772@exemplo.com,1
784,26,35195.0,cliente784@exemplo.com,1
790,29,31243.0,cliente790@exemplo.com,1
803,28,39232.0,cliente803@exemplo.com,1
806,26,38919.0,cliente806@exemplo.com,1
807,21,23422.0,cliente807@exemplo.com,1
812,18,30265.0,cliente812@exemplo.com,1
813,31,44153.0,cliente813@exemplo.com,1
815,27,39401.0,cliente815@exemplo.com,1
826,24,22970.0,cliente826@exemplo.com,1
841,29,29812.0,cliente841@exemplo.com,1
859,29,23755.0,cliente859@exemplo.com,1
861,19,33723.0,cliente861@exemplo.com,1
865,26,30026.0,cliente865@exemplo.com,1
869,20,38181.0,cliente869@exemplo.com,1
874,26,28428.0,cliente874@exemplo.com,1
878,18,29344.0,cliente878@exemplo.com,1
880,30,41060.0,cliente880@exemplo.com,1
881,25,26677.0,cliente881@exemplo.com,1
885,26,38681.0,cliente885@exemplo.com,1
893,25,37923.0,cliente893@exemplo.com,1
894,18,27321.0,cliente894@exemplo.com,1
898,19,34293.0,cliente898@exemplo.com,1
903,20,22933.0,cliente903@exemplo.com,1
907,24,28653.0,cliente907@exemplo.com,1
912,22,30064.0,cliente912@exemplo.com,1
928,28,29445.0,cliente928@exemplo.com,1
932,27,34802.0,cliente932@exemplo.com,1
937,23,24091.0,cliente937@exemplo.com,1
940,32,42850.0,cliente940@exemplo.com,1
943,26,38677.0,cliente943@exemplo.com,1
946,22,37013.0,cliente946@exemplo.com,1
950,28,39210.0,cliente950@exemplo.com,1
955,22,20276.0,cliente955@exemplo.com,1
956,24,30159.0,cliente956@exemplo.com,1
957,31,42633.0,cliente957@exemplo.com,1
958,28,32512.0,cliente958@exemplo.com,1
960,32,42287.0,cliente960@exemplo.com,1
971,20,38055.0,cliente971@exemplo.com,1
977,22,21101.0,cliente977@exemplo.com,1
978,21,38038.0,cliente978@exemplo.com,1
982,26,31680.0,cliente982@exemplo.com,1
984,29,33952.0,cliente984@exemplo.com,1
994,25,27705.0,cliente994@exemplo.com,1
996,28,29018.0,cliente996@exemplo.com,1
999,25,30271.0,cliente999@exemplo.com,1
