clienteid,idade,renda_anual,email,grupo
53,27,82862,cliente53@exemplo.com,1
54,75,17557,cliente54@exemplo.com,0
55,50,87285,cliente55@exemplo.com,1
56,49,54069,cliente56@exemplo.com,2
57,28,91521,cliente57@exemplo.com,1
58,70,22383,cliente58@exemplo.com,0
59,41,57456,cliente59@exemplo.com,2
60,53,45312,cliente60@exemplo.com,2
61,80,57312,cliente61@exemplo.com,2
62,29,81968,cliente62@exemplo.com,1
63,68,42830,cliente63@exemplo.com,2
64,73,37018,cliente64@exemplo.com,0
65,46,69788,cliente65@exemplo.com,2
66,52,40301,cliente66@exemplo.com,0
67,18,91728,cliente67@exemplo.com,1
68,18,77559,cliente68@exemplo.com,1
69,54,83878,cliente69@exemplo.com,1
70,71,28821,cliente70@exemplo.com,0
71,23,45620,cliente71@exemplo.com,2
72,56,39267,cliente72@exemplo.com,0
73,58,59279,cliente73@exemplo.com,2
74,70,25708,cliente74@exemplo.com,0
75,35,54785,cliente75@exemplo.com,2
76,33,44790,cliente76@exemplo.com,2
77,22,35735,cliente77@exemplo.com,0
78,59,95172,cliente78@exemplo.com,1
79,60,10592,cliente79@exemplo.com,0
80,76,98477,cliente80@exemplo.com,1
81,49,92944,cliente81@exemplo.com,1
82,74,30183,cliente82@exemplo.com,0
83,19,75354,cliente83@exemplo.com,1
84,19,75276,cliente84@exemplo.com,1
85,57,47437,cliente85@exemplo.com,2
86,59,21408,cliente86@exemplo.com,0
87,75,20096,cliente87@exemplo.com,0
88,53,52441,cliente88@exemplo.com,2
89,56,42884,cliente89@exemplo.com,2
90,73,68085,cliente90@exemplo.com,2
91,29,50703,cliente91@exemplo.com,2
92,64,72782,cliente92@exemplo.com,1
93,36,98624,cliente93@exemplo.com,1
94,45,31649,cliente94@exemplo.com,0
95,18,69253,cliente95@exemplo.com,2
96,32,46361,cliente96@exemplo.com,2
97,53,55548,cliente97@exemplo.com,2
98,71,64462,cliente98@exemplo.com,2
99,30,36703,cliente99@exemplo.com,0
100,75,66526,cliente100@exemplo.com,2
101,60,34993,cliente101@exemplo.com,0
102,38,69268,cliente102@exemplo.com,2
103,29,37536,cliente103@exemplo.com,0
104,22,45044,cliente104@exemplo.com,2
105,24,77399,cliente105@exemplo.com,1
106,22,66638,cliente106@exemplo.com,2
107,65,75371,cliente107@exemplo.com,1
108,70,83735,cliente108@exemplo.com,1
109,21,49421,cliente109@exemplo.com,2
110,30,51750,cliente110@exemplo.com,2
111,54,44658,cliente111@exemplo.com,2
112,70,69126,cliente112@exemplo.com,2
113,58,68523,cliente113@exemplo.com,2
114,32,25919,cliente114@exemplo.com,0
115,33,63743,cliente115@exemplo.com,2
116,38,43394,cliente116@exemplo.com,2
117,53,24859,cliente117@exemplo.com,0
118,76,65255,cliente118@exemplo.com,2
119,41,87799,cliente119@exemplo.com,1
120,33,35374,cliente120@exemplo.com,0
121,31,77674,cliente121@exemplo.com,1
122,71,41010,cliente122@exemplo.com,2
123,39,33203,cliente123@exemplo.com,0
124,66,49789,cliente124@exemplo.com,2
125,67,22912,cliente125@exemplo.com,0
126,23,47285,cliente126@exemplo.com,2
127,59,39764,cliente127@exemplo.com,0
128,53,84165,cliente128@exemplo.com,1
129,18,37661,cliente129@exemplo.com,0
130,49,65397,cliente130@exemplo.com,2
131,23,39459,cliente131@exemplo.com,0
132,48,54296,cliente132@exemplo.com,2
133,18,17008,cliente133@exemplo.com,0
134,67,28129,cliente134@exemplo.com,0
135,68,39893,cliente135@exemplo.com,0
136,54,37004,cliente136@exemplo.com,0
137,52,83828,cliente137@exemplo.com,1
138,66,76945,cliente138@exemplo.com,1
139,47,97197,cliente139@exemplo.com,1
140,21,80533,cliente140@exemplo.com,1
141,52,34528,cliente141@exemplo.com,0
142,60,63478,cliente142@exemplo.com,2
143,31,55560,cliente143@exemplo.com,2
144,66,81592,cliente144@exemplo.com,1
145,57,78246,cliente145@exemplo.com,1
146,39,95022,cliente146@exemplo.com,1
147,27,24591,cliente147@exemplo.com,0
148,18,33059,cliente148@exemplo.com,0
149,28,52756,cliente149@exemplo.com,2
150,68,82554,cliente150@exemplo.com,1
151,61,94554,cliente151@exemplo.com,1
152,76,42891,cliente152@exemplo.com,2
153,41,41958,cliente153@exemplo.com,2
154,77,49228,cliente154@exemplo.com,2
155,20,70133,cliente155@exemplo.com,2
156,75,28013,cliente156@exemplo.com,0
157,52,39353,cliente157@exemplo.com,0
158,80,81208,cliente158@exemplo.com,1
159,53,69580,cliente159@exemplo.com,2
160,48,19425,cliente160@exemplo.com,0
161,77,39363,cliente161@exemplo.com,0
162,21,44088,cliente162@exemplo.com,2
163,36,19694,cliente163@exemplo.com,0
164,64,50542,cliente164@exemplo.com,2
165,53,54709,cliente165@exemplo.com,2
166,38,63630,cliente166@exemplo.com,2
167,35,17011,cliente167@exemplo.com,0
168,68,66487,cliente168@exemplo.com,2
169,45,50605,cliente169@exemplo.com,2
170,32,67852,cliente170@exemplo.com,2
171,59,29521,cliente171@exemplo.com,0
172,76,26151,cliente172@exemplo.com,0
173,19,44176,cliente173@exemplo.com,2
174,54,31871,cliente174@exemplo.com,0
175,28,37034,cliente175@exemplo.com,0
176,40,63977,cliente176@exemplo.com,2
177,61,89193,cliente177@exemplo.com,1
178,58,57320,cliente178@exemplo.com,2
179,29,60679,cliente179@exemplo.com,2
180,20,69855,cliente180@exemplo.com,2
181,69,93241,cliente181@exemplo.com,1
182,34,69281,cliente182@exemplo.com,2
183,50,46720,cliente183@exemplo.com,2
184,72,93054,cliente184@exemplo.com,1
185,18,62677,cliente185@exemplo.com,2
186,56,12963,cliente186@exemplo.com,0
187,37,98815,cliente187@exemplo.com,1
188,64,56870,cliente188@exemplo.com,2
189,60,70781,cliente189@exemplo.com,1
190,69,50843,cliente190@exemplo.com,2
191,74,25265,cliente191@exemplo.com,0
192,78,34455,cliente192@exemplo.com,0
193,58,36743,cliente193@exemplo.com,0
194,31,79914,cliente194@exemplo.com,1
195,48,35136,cliente195@exemplo.com,0
196,42,86999,cliente196@exemplo.com,1
197,79,55295,cliente197@exemplo.com,2
198,20,94662,cliente198@exemplo.com,1
199,21,79988,cliente199@exemplo.com,1
200,48,82279,cliente200@exemplo.com,1
201,52,81166,cliente201@exemplo.com,1
202,61,61714,cliente202@exemplo.com,2
203,31,54296,cliente203@exemplo.com,2
204,66,36885,cliente204@exemplo.com,0
205,58,82614,cliente205@exemplo.com,1
206,26,18804,cliente206@exemplo.com,0
207,37,96465,cliente207@exemplo.com,1
208,49,30132,cliente208@exemplo.com,0
209,26,60053,cliente209@exemplo.com,2
210,44,54707,cliente210@exemplo.com,2
211,20,32616,cliente211@exemplo.com,0
212,74,91841,cliente212@exemplo.com,1
213,70,48607,cliente213@exemplo.com,2
214,21,32898,cliente214@exemplo.com,0
215,62,19481,cliente215@exemplo.com,0
216,79,50068,cliente216@exemplo.com,2
217,32,74433,cliente217@exemplo.com,1
218,50,95016,cliente218@exemplo.com,1
219,22,85358,cliente219@exemplo.com,1
220,21,63123,cliente220@exemplo.com,2
221,63,30045,cliente221@exemplo.com,0
222,29,11291,cliente222@exemplo.com,0
223,78,67741,cliente223@exemplo.com,2
224,40,45300,cliente224@exemplo.com,2
225,31,44897,cliente225@exemplo.com,2
226,75,35754,cliente226@exemplo.com,0
227,63,22230,cliente227@exemplo.com,0
228,29,60863,cliente228@exemplo.com,2
229,74,40306,cliente229@exemplo.com,0
230,34,72997,cliente230@exemplo.com,1
231,42,22180,cliente231@exemplo.com,0
232,47,15802,cliente232@exemplo.com,0
233,39,18058,cliente233@exemplo.com,0
234,64,27553,cliente234@exemplo.com,0
235,43,30441,cliente235@exemplo.com,0
236,34,49381,cliente236@exemplo.com,2
237,78,91508,cliente237@exemplo.com,1
238,75,14207,cliente238@exemplo.com,0
239,72,81777,cliente239@exemplo.com,1
240,71,28670,cliente240@exemplo.com,0
241,79,91776,cliente241@exemplo.com,1
242,37,97051,cliente242@exemplo.com,1
243,51,49905,cliente243@exemplo.com,2
244,58,56617,cliente244@exemplo.com,2
245,50,81007,cliente245@exemplo.com,1
246,54,24937,cliente246@exemplo.com,0
247,77,22120,cliente247@exemplo.com,0
248,77,37117,cliente248@exemplo.com,0
249,75,78134,cliente249@exemplo.com,1
250,24,46915,cliente250@exemplo.com,2
251,39,64019,cliente251@exemplo.com,2
252,49,55486,cliente252@exemplo.com,2
253,31,17802,cliente253@exemplo.com,0
254,25,64685,cliente254@exemplo.com,2
255,74,39442,cliente255@exemplo.com,0
256,42,76181,cliente256@exemplo.com,1
257,33,14039,cliente257@exemplo.com,0
258,59,98910,cliente258@exemplo.com,1
259,36,19635,cliente259@exemplo.com,0
260,58,32708,cliente260@exemplo.com,0
261,72,31863,cliente261@exemplo.com,0
262,33,98327,cliente262@exemplo.com,1
263,29,53699,cliente263@exemplo.com,2
264,56,87158,cliente264@exemplo.com,1
265,65,76297,cliente265@exemplo.com,1
266,47,84675,cliente266@exemplo.com,1
267,75,30381,cliente267@exemplo.com,0
268,19,43393,cliente268@exemplo.com,2
269,49,69843,cliente269@exemplo.com,2
270,72,87690,cliente270@exemplo.com,1
271,62,46151,cliente271@exemplo.com,2
272,42,75112,cliente272@exemplo.com,1
273,79,12555,cliente273@exemplo.com,0
274,42,91148,cliente274@exemplo.com,1
275,21,63752,cliente275@exemplo.com,2
276,36,70533,cliente276@exemplo.com,2
277,65,24707,cliente277@exemplo.com,0
278,21,42214,cliente278@exemplo.com,2
279,60,80841,cliente279@exemplo.com,1
280,30,23195,cliente280@exemplo.com,0
281,56,83298,cliente281@exemplo.com,1
282,53,71401,cliente282@exemplo.com,1
283,40,46076,cliente283@exemplo.com,2
284,80,44183,cliente284@exemplo.com,2
285,79,60973,cliente285@exemplo.com,2
286,23,86745,cliente286@exemplo.com,1
287,41,17228,cliente287@exemplo.com,0
288,61,70027,cliente288@exemplo.com,2
289,50,67447,cliente289@exemplo.com,2
290,29,56783,cliente290@exemplo.com,2
291,58,98193,cliente291@exemplo.com,1
292,38,24226,cliente292@exemplo.com,0
293,28,87493,cliente293@exemplo.com,1
294,72,23596,cliente294@exemplo.com,0
295,61,92368,cliente295@exemplo.com,1
296,55,87528,cliente296@exemplo.com,1
297,79,40281,cliente297@exemplo.com,0
298,46,58008,cliente298@exemplo.com,2
299,65,34530,cliente299@exemplo.com,0
300,58,13467,cliente300@exemplo.com,0
301,20,20716,cliente301@exemplo.com,0
302,45,32901,cliente302@exemplo.com,0
303,37,70241,cliente303@exemplo.com,2
304,43,39111,cliente304@exemplo.com,0
305,41,78623,cliente305@exemplo.com,1
306,71,10131,cliente306@exemplo.com,0
307,69,72570,cliente307@exemplo.com,1
308,64,69864,cliente308@exemplo.com,2
309,38,87525,cliente309@exemplo.com,1
310,71,11614,cliente310@exemplo.com,0
311,47,45695,cliente311@exemplo.com,2
312,21,47708,cliente312@exemplo.com,2
313,53,76827,cliente313@exemplo.com,1
314,57,93303,cliente314@exemplo.com,1
315,27,68202,cliente315@exemplo.com,2
316,27,14845,cliente316@exemplo.com,0
317,59,31922,cliente317@exemplo.com,0
318,41,62222,cliente318@exemplo.com,2
319,21,86304,cliente319@exemplo.com,1
320,64,78129,cliente320@exemplo.com,1
321,44,66492,cliente321@exemplo.com,2
322,68,51768,cliente322@exemplo.com,2
323,62,36952,cliente323@exemplo.com,0
324,21,76666,cliente324@exemplo.com,1
325,49,43363,cliente325@exemplo.com,2
326,27,80386,cliente326@exemplo.com,1
327,28,96935,cliente327@exemplo.com,1
328,45,81071,cliente328@exemplo.com,1
329,63,51622,cliente329@exemplo.com,2
330,25,33616,cliente330@exemplo.com,0
331,57,74799,cliente331@exemplo.com,1
332,79,67427,cliente332@exemplo.com,2
333,39,53827,cliente333@exemplo.com,2
334,51,75017,cliente334@exemplo.com,1
335,62,54428,cliente335@exemplo.com,2
336,52,15130,cliente336@exemplo.com,0
337,52,64772,cliente337@exemplo.com,2
338,42,51808,cliente338@exemplo.com,2
339,51,77267,cliente339@exemplo.com,1
340,23,60512,cliente340@exemplo.com,2
341,58,97360,cliente341@exemplo.com,1
342,54,52113,cliente342@exemplo.com,2
343,18,36418,cliente343@exemplo.com,0
344,29,90736,cliente344@exemplo.com,1
345,52,92283,cliente345@exemplo.com,1
346,23,14562,cliente346@exemplo.com,0
347,80,18889,cliente347@exemplo.com,0
348,71,95398,cliente348@exemplo.com,1
349,80,50719,cliente349@exemplo.com,2
350,34,19103,cliente350@exemplo.com,0
351,80,78935,cliente351@exemplo.com,1
352,26,89131,cliente352@exemplo.com,1
353,79,24552,cliente353@exemplo.com,0
354,19,14409,cliente354@exemplo.com,0
355,35,62026,cliente355@exemplo.com,2
356,66,53224,cliente356@exemplo.com,2
357,53,28701,cliente357@exemplo.com,0
358,74,16034,cliente358@exemplo.com,0
359,45,83678,cliente359@exemplo.com,1
360,58,65060,cliente360@exemplo.com,2
361,70,15703,cliente361@exemplo.com,0
362,54,40391,cliente362@exemplo.com,0
363,66,40955,cliente363@exemplo.com,2
364,43,99333,cliente364@exemplo.com,1
365,21,62315,cliente365@exemplo.com,2
366,57,32572,cliente366@exemplo.com,0
367,78,17951,cliente367@exemplo.com,0
368,53,93543,cliente368@exemplo.com,1
369,68,81627,cliente369@exemplo.com,1
370,48,44381,cliente370@exemplo.com,2
371,47,51470,cliente371@exemplo.com,2
372,67,17581,cliente372@exemplo.com,0
373,51,97647,cliente373@exemplo.com,1
374,36,91618,cliente374@exemplo.com,1
375,35,50580,cliente375@exemplo.com,2
376,47,80577,cliente376@exemplo.com,1
377,38,94311,cliente377@exemplo.com,1
378,79,17209,cliente378@exemplo.com,0
379,20,19690,cliente379@exemplo.com,0
380,23,49855,cliente380@exemplo.com,2
381,55,61473,cliente381@exemplo.com,2
382,30,11344,cliente382@exemplo.com,0
383,62,26620,cliente383@exemplo.com,0
384,71,39334,cliente384@exemplo.com,0
385,79,48986,cliente385@exemplo.com,2
386,20,27570,cliente386@exemplo.com,0
387,65,71096,cliente387@exemplo.com,1
388,45,62214,cliente388@exemplo.com,2
389,39,97701,cliente389@exemplo.com,1
390,57,99890,cliente390@exemplo.com,1
391,57,51333,cliente391@exemplo.com,2
392,29,54192,cliente392@exemplo.com,2
393,40,58428,cliente393@exemplo.com,2
394,48,76147,cliente394@exemplo.com,1
395,35,33289,cliente395@exemplo.com,0
396,24,57975,cliente396@exemplo.com,2
397,25,13995,cliente397@exemplo.com,0
398,36,56843,cliente398@exemplo.com,2
399,46,12352,cliente399@exemplo.com,0
400,61,64655,cliente400@exemplo.com,2
401,37,28058,cliente401@exemplo.com,0
402,67,56404,cliente402@exemplo.com,2
403,59,85025,cliente403@exemplo.com,1
404,47,33299,cliente404@exemplo.com,0
405,64,20525,cliente405@exemplo.com,0
406,39,88438,cliente406@exemplo.com,1
407,27,31707,cliente407@exemplo.com,0
408,43,62701,cliente408@exemplo.com,2
409,68,83020,cliente409@exemplo.com,1
410,50,49603,cliente410@exemplo.com,2
411,45,16388,cliente411@exemplo.com,0
412,27,53593,cliente412@exemplo.com,2
413,46,24272,cliente413@exemplo.com,0
414,61,73472,cliente414@exemplo.com,1
415,35,26627,cliente415@exemplo.com,0
416,59,45349,cliente416@exemplo.com,2
417,76,40302,cliente417@exemplo.com,0
418,18,45983,cliente418@exemplo.com,2
419,40,45568,cliente419@exemplo.com,2
420,34,98330,cliente420@exemplo.com,1
421,60,28065,cliente421@exemplo.com,0
422,54,90003,cliente422@exemplo.com,1
423,48,62199,cliente423@exemplo.com,2
424,42,42329,cliente424@exemplo.com,2
425,70,27181,cliente425@exemplo.com,0
426,21,99283,cliente426@exemplo.com,1
427,69,47328,cliente427@exemplo.com,2
428,26,21908,cliente428@exemplo.com,0
429,74,35700,cliente429@exemplo.com,0
430,45,71472,cliente430@exemplo.com,1
431,47,54113,cliente431@exemplo.com,2
432,77,93575,cliente432@exemplo.com,1
433,64,12422,cliente433@exemplo.com,0
434,41,60933,cliente434@exemplo.com,2
435,50,16437,cliente435@exemplo.com,0
436,37,93227,cliente436@exemplo.com,1
437,26,56670,cliente437@exemplo.com,2
438,25,59083,cliente438@exemplo.com,2
439,41,11631,cliente439@exemplo.com,0
440,31,95304,cliente440@exemplo.com,1
441,76,33325,cliente441@exemplo.com,0
442,35,41388,cliente442@exemplo.com,2
443,74,64690,cliente443@exemplo.com,2
444,70,83914,cliente444@exemplo.com,1
445,73,65167,cliente445@exemplo.com,2
446,18,79502,cliente446@exemplo.com,1
447,29,95969,cliente447@exemplo.com,1
448,46,15596,cliente448@exemplo.com,0
449,54,99744,cliente449@exemplo.com,1
450,43,32075,cliente450@exemplo.com,0
451,50,11004,cliente451@exemplo.com,0
452,60,97047,cliente452@exemplo.com,1
453,32,37532,cliente453@exemplo.com,0
454,40,31227,cliente454@exemplo.com,0
455,46,78829,cliente455@exemplo.com,1
456,38,11064,cliente456@exemplo.com,0
457,36,88848,cliente457@exemplo.com,1
458,22,67556,cliente458@exemplo.com,2
459,40,57708,cliente459@exemplo.com,2
460,53,41949,cliente460@exemplo.com,2
461,76,89013,cliente461@exemplo.com,1
462,37,72013,cliente462@exemplo.com,1
463,25,46967,cliente463@exemplo.com,2
464,26,40642,cliente464@exemplo.com,0
465,79,67924,cliente465@exemplo.com,2
466,31,18686,cliente466@exemplo.com,0
467,23,82652,cliente467@exemplo.com,1
468,18,58825,cliente468@exemplo.com,2
469,26,51847,cliente469@exemplo.com,2
470,33,79616,cliente470@exemplo.com,1
471,33,88980,cliente471@exemplo.com,1
472,71,45364,cliente472@exemplo.com,2
473,29,20706,cliente473@exemplo.com,0
474,22,84462,cliente474@exemplo.com,1
475,57,92293,cliente475@exemplo.com,1
476,46,33843,cliente476@exemplo.com,0
477,63,97984,cliente477@exemplo.com,1
478,44,64833,cliente478@exemplo.com,2
479,28,29641,cliente479@exemplo.com,0
480,70,32578,cliente480@exemplo.com,0
481,64,37361,cliente481@exemplo.com,0
482,67,52160,cliente482@exemplo.com,2
483,45,67329,cliente483@exemplo.com,2
484,69,58764,cliente484@exemplo.com,2
485,53,28931,cliente485@exemplo.com,0
486,59,89780,cliente486@exemplo.com,1
487,36,39030,cliente487@exemplo.com,0
488,71,31540,cliente488@exemplo.com,0
489,52,66606,cliente489@exemplo.com,2
490,69,64898,cliente490@exemplo.com,2
491,48,66467,cliente491@exemplo.com,2
492,71,38070,cliente492@exemplo.com,0
493,76,71868,cliente493@exemplo.com,1
494,61,26419,cliente494@exemplo.com,0
495,73,31262,cliente495@exemplo.com,0
496,78,23304,cliente496@exemplo.com,0
497,78,83041,cliente497@exemplo.com,1
498,36,66131,cliente498@exemplo.com,2
499,63,69165,cliente499@exemplo.com,2
500,41,87979,cliente500@exemplo.com,1
501,19,60209,cliente501@exemplo.com,2
502,24,96451,cliente502@exemplo.com,1
503,60,13958,cliente503@exemplo.com,0
504,71,83784,cliente504@exemplo.com,1
505,66,16421,cliente505@exemplo.com,0
506,48,30202,cliente506@exemplo.com,0
507,77,94509,cliente507@exemplo.com,1
508,34,43725,cliente508@exemplo.com,2
509,44,52554,cliente509@exemplo.com,2
510,78,15912,cliente510@exemplo.com,0
511,53,30594,cliente511@exemplo.com,0
512,76,54304,cliente512@exemplo.com,2
513,67,16592,cliente513@exemplo.com,0
514,60,30324,cliente514@exemplo.com,0
515,27,73458,cliente515@exemplo.com,1
516,62,24971,cliente516@exemplo.com,0
517,31,36637,cliente517@exemplo.com,0
518,75,71179,cliente518@exemplo.com,1
519,24,14354,cliente519@exemplo.com,0
520,56,44626,cliente520@exemplo.com,2
521,57,53155,cliente521@exemplo.com,2
522,26,20740,cliente522@exemplo.com,0
523,31,95754,cliente523@exemplo.com,1
524,74,81116,cliente524@exemplo.com,1
525,25,79278,cliente525@exemplo.com,1
526,34,44074,cliente526@exemplo.com,2
527,74,13313,cliente527@exemplo.com,0
528,40,60112,cliente528@exemplo.com,2
529,74,86033,cliente529@exemplo.com,1
530,33,29876,cliente530@exemplo.com,0
531,43,26138,cliente531@exemplo.com,0
532,26,65584,cliente532@exemplo.com,2
533,53,85262,cliente533@exemplo.com,1
534,24,82988,cliente534@exemplo.com,1
535,35,49471,cliente535@exemplo.com,2
536,25,24929,cliente536@exemplo.com,0
537,38,39092,cliente537@exemplo.com,0
538,43,41943,cliente538@exemplo.com,2
539,20,52694,cliente539@exemplo.com,2
540,78,31129,cliente540@exemplo.com,0
541,34,33314,cliente541@exemplo.com,0
542,74,76717,cliente542@exemplo.com,1
543,68,72133,cliente543@exemplo.com,1
544,63,55610,cliente544@exemplo.com,2
545,41,12514,cliente545@exemplo.com,0
546,42,86573,cliente546@exemplo.com,1
547,22,90273,cliente547@exemplo.com,1
548,54,61235,cliente548@exemplo.com,2
549,62,30368,cliente549@exemplo.com,0
550,67,29991,cliente550@exemplo.com,0
551,41,83356,cliente551@exemplo.com,1
552,48,47219,cliente552@exemplo.com,2
553,72,82557,cliente553@exemplo.com,1
554,43,16932,cliente554@exemplo.com,0
555,38,22369,cliente555@exemplo.com,0
556,51,94908,cliente556@exemplo.com,1
557,55,77622,cliente557@exemplo.com,1
558,75,99034,cliente558@exemplo.com,1
559,41,22837,cliente559@exemplo.com,0
560,45,43130,cliente560@exemplo.com,2
561,47,14648,cliente561@exemplo.com,0
562,51,87595,cliente562@exemplo.com,1
563,69,89492,cliente563@exemplo.com,1
564,71,60951,cliente564@exemplo.com,2
565,73,82664,cliente565@exemplo.com,1
566,69,56680,cliente566@exemplo.com,2
567,40,75775,cliente567@exemplo.com,1
568,72,24223,cliente568@exemplo.com,0
569,25,37018,cliente569@exemplo.com,0
570,59,82851,cliente570@exemplo.com,1
571,67,45661,cliente571@exemplo.com,2
572,27,81653,cliente572@exemplo.com,1
573,72,52898,cliente573@exemplo.com,2
574,18,50391,cliente574@exemplo.com,2
575,37,22448,cliente575@exemplo.com,0
576,74,13436,cliente576@exemplo.com,0
577,54,99383,cliente577@exemplo.com,1
578,35,56462,cliente578@exemplo.com,2
579,38,46980,cliente579@exemplo.com,2
580,71,69364,cliente580@exemplo.com,2
581,66,89850,cliente581@exemplo.com,1
582,21,88772,cliente582@exemplo.com,1
583,80,32746,cliente583@exemplo.com,0
584,60,87800,cliente584@exemplo.com,1
585,19,69600,cliente585@exemplo.com,2
586,38,68158,cliente586@exemplo.com,2
587,54,82928,cliente587@exemplo.com,1
588,22,45422,cliente588@exemplo.com,2
589,34,63015,cliente589@exemplo.com,2
590,66,30111,cliente590@exemplo.com,0
591,65,63420,cliente591@exemplo.com,2
592,28,57699,cliente592@exemplo.com,2
593,63,80775,cliente593@exemplo.com,1
594,58,27975,cliente594@exemplo.com,0
595,48,23666,cliente595@exemplo.com,0
596,45,21675,cliente596@exemplo.com,0
597,61,16445,cliente597@exemplo.com,0
598,49,23649,cliente598@exemplo.com,0
599,38,13799,cliente599@exemplo.com,0
600,24,74923,cliente600@exemplo.com,1
601,27,10432,cliente601@exemplo.com,0
602,78,69351,cliente602@exemplo.com,2
603,45,97429,cliente603@exemplo.com,1
604,65,34953,cliente604@exemplo.com,0
605,53,63479,cliente605@exemplo.com,2
606,37,39409,cliente606@exemplo.com,0
607,30,23282,cliente607@exemplo.com,0
608,36,60972,cliente608@exemplo.com,2
609,67,37892,cliente609@exemplo.com,0
610,28,58193,cliente610@exemplo.com,2
611,52,28500,cliente611@exemplo.com,0
612,51,81420,cliente612@exemplo.com,1
613,61,10370,cliente613@exemplo.com,0
614,21,49841,cliente614@exemplo.com,2
615,30,89222,cliente615@exemplo.com,1
616,54,31603,cliente616@exemplo.com,0
617,76,50921,cliente617@exemplo.com,2
618,19,89809,cliente618@exemplo.com,1
619,67,60787,cliente619@exemplo.com,2
620,18,69463,cliente620@exemplo.com,2
621,57,37137,cliente621@exemplo.com,0
622,42,59281,cliente622@exemplo.com,2
623,76,47063,cliente623@exemplo.com,2
624,54,21929,cliente624@exemplo.com,0
625,53,52084,cliente625@exemplo.com,2
626,23,29021,cliente626@exemplo.com,0
627,24,50556,cliente627@exemplo.com,2
628,21,46018,cliente628@exemplo.com,2
629,52,11435,cliente629@exemplo.com,0
630,75,79728,cliente630@exemplo.com,1
631,58,60731,cliente631@exemplo.com,2
632,78,79395,cliente632@exemplo.com,1
633,51,98418,cliente633@exemplo.com,1
634,46,93245,cliente634@exemplo.com,1
635,22,83828,cliente635@exemplo.com,1
636,44,96352,cliente636@exemplo.com,1
637,50,71552,cliente637@exemplo.com,1
638,74,64137,cliente638@exemplo.com,2
639,63,66235,cliente639@exemplo.com,2
640,69,58579,cliente640@exemplo.com,2
641,27,57624,cliente641@exemplo.com,2
642,71,16720,cliente642@exemplo.com,0
643,23,75908,cliente643@exemplo.com,1
644,51,71332,cliente644@exemplo.com,1
645,25,78704,cliente645@exemplo.com,1
646,79,93426,cliente646@exemplo.com,1
647,48,39547,cliente647@exemplo.com,0
648,26,22629,cliente648@exemplo.com,0
649,72,16424,cliente649@exemplo.com,0
650,38,51986,cliente650@exemplo.com,2
651,25,98573,cliente651@exemplo.com,1
652,21,59526,cliente652@exemplo.com,2
653,39,23151,cliente653@exemplo.com,0
654,45,79697,cliente654@exemplo.com,1
655,62,78048,cliente655@exemplo.com,1
656,21,65666,cliente656@exemplo.com,2
657,56,58661,cliente657@exemplo.com,2
658,38,32383,cliente658@exemplo.com,0
659,25,84529,cliente659@exemplo.com,1
660,37,31634,cliente660@exemplo.com,0
661,49,70136,cliente661@exemplo.com,2
662,18,30855,cliente662@exemplo.com,0
663,23,13983,cliente663@exemplo.com,0
664,45,47703,cliente664@exemplo.com,2
