clienteid,idade,renda_anual,email
65,51,76200.0,cliente65@exemplo.com
66,51,95839.0,cliente66@exemplo.com
67,72,69079.0,cliente67@exemplo.com
68,21,38366.0,cliente68@exemplo.com
69,42,60215.0,cliente69@exemplo.com
70,23,31972.0,cliente70@exemplo.com
71,18,23681.0,cliente71@exemplo.com
72,62,88887.0,cliente72@exemplo.com
73,45,61220.0,cliente73@exemplo.com
74,72,98682.0,cliente74@exemplo.com
75,49,55819.0,cliente75@exemplo.com
76,19,33678.0,cliente76@exemplo.com
77,40,53350.0,cliente77@exemplo.com
78,52,89408.0,cliente78@exemplo.com
79,39,49435.0,cliente79@exemplo.com
80,65,73327.0,cliente80@exemplo.com
81,63,98151.0,cliente81@exemplo.com
82,41,45207.0,cliente82@exemplo.com
83,48,59093.0,cliente83@exemplo.com
84,42,67516.0,cliente84@exemplo.com
85,78,73331.0,cliente85@exemplo.com
86,60,69232.0,cliente86@exemplo.com
87,51,87902.0,cliente87@exemplo.com
88,48,56678.0,cliente88@exemplo.com
89,45,63158.0,cliente89@exemplo.com
90,76,87493.0,cliente90@exemplo.com
91,30,59675.0,cliente91@exemplo.com
92,48,52904.0,cliente92@exemplo.com
93,79,65761.0,cliente93@exemplo.com
94,56,86329.0,cliente94@exemplo.com
95,80,64676.0,cliente95@exemplo.com
96,35,68431.0,cliente96@exemplo.com
97,18,30056.0,cliente97@exemplo.com
98,54,98342.0,cliente98@exemplo.com
99,63,76198.0,cliente99@exemplo.com
100,67,81288.0,cliente100@exemplo.com
101,53,70050.0,cliente101@exemplo.com
102,34,67019.0,cliente102@exemplo.com
103,36,44536.0,cliente103@exemplo.com
104,75,64588.0,cliente104@exemplo.com
105,79,70362.0,cliente105@exemplo.com
106,59,74229.0,cliente106@exemplo.com
107,66,64896.0,cliente107@exemplo.com
108,60,92906.0,cliente108@exemplo.com
109,78,79103.0,cliente109@exemplo.com
110,21,29764.0,cliente110@exemplo.com
111,63,67017.0,cliente111@exemplo.com
112,40,56541.0,cliente112@exemplo.com
113,50,84400.0,cliente113@exemplo.com
114,78,77682.0,cliente114@exemplo.com
115,23,39038.0,cliente115@exemplo.com
116,34,48610.0,cliente116@exemplo.com
117,27,38632.0,cliente117@exemplo.com
118,41,64107.0,cliente118@exemplo.com
119,50,97720.0,cliente119@exemplo.com
120,71,96372.0,cliente120@exemplo.com
121,55,76133.0,cliente121@exemplo.com
122,26,29008.0,cliente122@exemplo.com
123,23,27809.0,cliente123@exemplo.com
124,61,62245.0,cliente124@exemplo.com
125,56,92083.0,cliente125@exemplo.com
126,47,53366.0,cliente126@exemplo.com
127,60,95943.0,cliente127@exemplo.com
128,42,49786.0,cliente128@exemplo.com
129,43,55468.0,cliente129@exemplo.com
130,62,94609.0,cliente130@exemplo.com
131,68,94482.0,cliente131@exemplo.com
132,79,60838.0,cliente132@exemplo.com
133,43,63682.0,cliente133@exemplo.com
134,79,63407.0,cliente134@exemplo.com
135,77,93597.0,cliente135@exemplo.com
136,69,94998.0,cliente136@exemplo.com
137,19,22515.0,cliente137@exemplo.com
138,57,84217.0,cliente138@exemplo.com
139,66,88325.0,cliente139@exemplo.com
140,41,61058.0,cliente140@exemplo.com
141,48,44806.0,cliente141@exemplo.com
142,62,63927.0,cliente142@exemplo.com
143,49,40201.0,cliente143@exemplo.com
144,77,84591.0,cliente144@exemplo.com
145,26,28575.0,cliente145@exemplo.com
146,76,97320.0,cliente146@exemplo.com
147,59,61875.0,cliente147@exemplo.com
148,26,36154.0,cliente148@exemplo.com
149,62,89193.0,cliente149@exemplo.com
150,46,44475.0,cliente150@exemplo.com
151,31,41485.0,cliente151@exemplo.com
152,37,58055.0,cliente152@exemplo.com
153,33,52715.0,cliente153@exemplo.com
154,79,88458.0,cliente154@exemplo.com
155,56,66805.0,cliente155@exemplo.com
156,52,64614.0,cliente156@exemplo.com
157,50,62335.0,cliente157@exemplo.com
158,52,90158.0,cliente158@exemplo.com
159,45,57841.0,cliente159@exemplo.com
160,21,29429.0,cliente160@exemplo.com
161,38,60343.0,cliente161@exemplo.com
162,53,91953.0,cliente162@exemplo.com
163,32,64824.0,cliente163@exemplo.com
164,72,79512.0,cliente164@exemplo.com
165,40,49331.0,cliente165@exemplo.com
166,23,21306.0,cliente166@exemplo.com
167,28,26817.0,cliente167@exemplo.com
168,36,48231.0,cliente168@exemplo.com
169,74,86314.0,cliente169@exemplo.com
170,42,44562.0,cliente170@exemplo.com
171,58,91497.0,cliente171@exemplo.com
172,80,81707.0,cliente172@exemplo.com
173,50,80625.0,cliente173@exemplo.com
174,67,99512.0,cliente174@exemplo.com
175,47,53045.0,cliente175@exemplo.com
176,76,88602.0,cliente176@exemplo.com
177,53,84546.0,cliente177@exemplo.com
178,58,95855.0,cliente178@exemplo.com
179,39,47232.0,cliente179@exemplo.com
180,50,91444.0,cliente180@exemplo.com
181,78,65440.0,cliente181@exemplo.com
182,21,29552.0,cliente182@exemplo.com
183,73,69545.0,cliente183@exemplo.com
184,64,86830.0,cliente184@exemplo.com
185,29,28249.0,cliente185@exemplo.com
186,58,76079.0,cliente186@exemplo.com
187,18,29219.0,cliente187@exemplo.com
188,20,21775.0,cliente188@exemplo.com
189,49,52931.0,cliente189@exemplo.com
190,28,20196.0,cliente190@exemplo.com
191,27,24367.0,cliente191@exemplo.com
192,55,62312.0,cliente192@exemplo.com
193,37,59766.0,cliente193@exemplo.com
194,24,29469.0,cliente194@exemplo.com
195,69,99399.0,cliente195@exemplo.com
196,19,23970.0,cliente196@exemplo.com
197,77,83431.0,cliente197@exemplo.com
198,25,22072.0,cliente198@exemplo.com
199,68,64952.0,cliente199@exemplo.com
200,34,47815.0,cliente200@exemplo.com
201,43,57284.0,cliente201@exemplo.com
202,67,82692.0,cliente202@exemplo.com
203,24,24887.0,cliente203@exemplo.com
204,50,94990.0,cliente204@exemplo.com
205,60,88000.0,cliente205@exemplo.com
206,25,34698.0,cliente206@exemplo.com
207,31,46599.0,cliente207@exemplo.com
208,49,66945.0,cliente208@exemplo.com
209,79,89441.0,cliente209@exemplo.com
210,28,33728.0,cliente210@exemplo.com
211,72,75348.0,cliente211@exemplo.com
212,64,60048.0,cliente212@exemplo.com
213,71,72633.0,cliente213@exemplo.com
214,64,80840.0,cliente214@exemplo.com
215,75,90950.0,cliente215@exemplo.com
216,24,21972.0,cliente216@exemplo.com
217,73,64849.0,cliente217@exemplo.com
218,67,97127.0,cliente218@exemplo.com
219,36,64022.0,cliente219@exemplo.com
220,74,93938.0,cliente220@exemplo.com
221,44,49950.0,cliente221@exemplo.com
222,57,97005.0,cliente222@exemplo.com
223,42,69274.0,cliente223@exemplo.com
224,49,50473.0,cliente224@exemplo.com
225,44,62303.0,cliente225@exemplo.com
226,68,68287.0,cliente226@exemplo.com
227,28,31856.0,cliente227@exemplo.com
228,59,75196.0,cliente228@exemplo.com
229,57,77034.0,cliente229@exemplo.com
230,57,87208.0,cliente230@exemplo.com
231,22,20730.0,cliente231@exemplo.com
232,35,58239.0,cliente232@exemplo.com
233,59,89015.0,cliente233@exemplo.com
234,52,83705.0,cliente234@exemplo.com
235,31,51086.0,cliente235@exemplo.com
236,46,61406.0,cliente236@exemplo.com
237,35,43874.0,cliente237@exemplo.com
238,61,85727.0,cliente238@exemplo.com
239,60,79733.0,cliente239@exemplo.com
240,33,59072.0,cliente240@exemplo.com
241,31,47429.0,cliente241@exemplo.com
242,78,79590.0,cliente242@exemplo.com
243,77,62037.0,cliente243@exemplo.com
244,67,68096.0,cliente244@exemplo.com
245,21,22645.0,cliente245@exemplo.com
246,75,63154.0,cliente246@exemplo.com
247,74,74182.0,cliente247@exemplo.com
248,29,30370.0,cliente248@exemplo.com
249,63,75900.0,cliente249@exemplo.com
250,73,96136.0,cliente250@exemplo.com
251,29,23168.0,cliente251@exemplo.com
252,53,74281.0,cliente252@exemplo.com
253,56,84710.0,cliente253@exemplo.com
254,33,45103.0,cliente254@exemplo.com
255,54,79399.0,cliente255@exemplo.com
256,39,58289.0,cliente256@exemplo.com
257,21,30660.0,cliente257@exemplo.com
258,41,40386.0,cliente258@exemplo.com
259,39,51840.0,cliente259@exemplo.com
260,55,77204.0,cliente260@exemplo.com
261,68,82855.0,cliente261@exemplo.com
262,60,98289.0,cliente262@exemplo.com
263,29,30517.0,cliente263@exemplo.com
264,40,43598.0,cliente264@exemplo.com
265,34,62522.0,cliente265@exemplo.com
266,76,84848.0,cliente266@exemplo.com
267,39,68933.0,cliente267@exemplo.com
268,60,87491.0,cliente268@exemplo.com
269,33,48990.0,cliente269@exemplo.com
270,26,26014.0,cliente270@exemplo.com
271,77,97015.0,cliente271@exemplo.com
272,34,44319.0,cliente272@exemplo.com
273,35,69959.0,cliente273@exemplo.com
274,32,58863.0,cliente274@exemplo.com
275,53,90821.0,cliente275@exemplo.com
276,40,61227.0,cliente276@exemplo.com
277,80,74666.0,cliente277@exemplo.com
278,78,68610.0,cliente278@exemplo.com
279,57,73070.0,cliente279@exemplo.com
280,32,54278.0,cliente280@exemplo.com
281,77,95040.0,cliente281@exemplo.com
282,26,25696.0,cliente282@exemplo.com
283,79,84489.0,cliente283@exemplo.com
284,71,64262.0,cliente284@exemplo.com
285,73,87359.0,cliente285@exemplo.com
286,50,85757.0,cliente286@exemplo.com
287,28,34520.0,cliente287@exemplo.com
288,23,38394.0,cliente288@exemplo.com
289,49,67030.0,cliente289@exemplo.com
290,44,42928.0,cliente290@exemplo.com
291,66,95609.0,cliente291@exemplo.com
292,49,54960.0,cliente292@exemplo.com
293,42,68350.0,cliente293@exemplo.com
294,66,72139.0,cliente294@exemplo.com
295,59,92915.0,cliente295@exemplo.com
296,34,60958.0,cliente296@exemplo.com
297,48,40239.0,cliente297@exemplo.com
298,55,65066.0,cliente298@exemplo.com
299,33,51752.0,cliente299@exemplo.com
300,63,61983.0,cliente300@exemplo.com
301,59,81740.0,cliente301@exemplo.com
302,20,26677.0,cliente302@exemplo.com
303,42,52869.0,cliente303@exemplo.com
304,69,99266.0,cliente304@exemplo.com
305,31,57883.0,cliente305@exemplo.com
306,40,49550.0,cliente306@exemplo.com
307,60,62872.0,cliente307@exemplo.com
308,40,45720.0,cliente308@exemplo.com
309,51,64989.0,cliente309@exemplo.com
310,37,42035.0,cliente310@exemplo.com
311,58,77565.0,cliente311@exemplo.com
312,24,38898.0,cliente312@exemplo.com
313,44,52960.0,cliente313@exemplo.com
314,19,23689.0,cliente314@exemplo.com
315,62,64921.0,cliente315@exemplo.com
316,25,37061.0,cliente316@exemplo.com
317,39,50766.0,cliente317@exemplo.com
318,28,39613.0,cliente318@exemplo.com
319,72,84915.0,cliente319@exemplo.com
320,42,50212.0,cliente320@exemplo.com
321,63,88703.0,cliente321@exemplo.com
322,41,51790.0,cliente322@exemplo.com
323,59,80901.0,cliente323@exemplo.com
324,60,92120.0,cliente324@exemplo.com
325,37,56722.0,cliente325@exemplo.com
326,50,69945.0,cliente326@exemplo.com
327,56,66610.0,cliente327@exemplo.com
328,63,74229.0,cliente328@exemplo.com
329,56,88735.0,cliente329@exemplo.com
330,38,59110.0,cliente330@exemplo.com
331,66,70894.0,cliente331@exemplo.com
332,52,77505.0,cliente332@exemplo.com
333,52,82831.0,cliente333@exemplo.com
334,41,40663.0,cliente334@exemplo.com
335,67,86005.0,cliente335@exemplo.com
336,34,58287.0,cliente336@exemplo.com
337,65,97653.0,cliente337@exemplo.com
338,63,69255.0,cliente338@exemplo.com
339,33,55825.0,cliente339@exemplo.com
340,21,29038.0,cliente340@exemplo.com
341,80,83971.0,cliente341@exemplo.com
342,71,97723.0,cliente342@exemplo.com
343,48,49662.0,cliente343@exemplo.com
344,28,25601.0,cliente344@exemplo.com
345,66,65290.0,cliente345@exemplo.com
346,32,63976.0,cliente346@exemplo.com
347,56,67449.0,cliente347@exemplo.com
348,24,35436.0,cliente348@exemplo.com
349,67,76378.0,cliente349@exemplo.com
350,79,87949.0,cliente350@exemplo.com
351,79,66053.0,cliente351@exemplo.com
352,80,77095.0,cliente352@exemplo.com
353,52,78475.0,cliente353@exemplo.com
354,28,25539.0,cliente354@exemplo.com
355,69,76085.0,cliente355@exemplo.com
356,75,75361.0,cliente356@exemplo.com
357,62,88014.0,cliente357@exemplo.com
358,37,40385.0,cliente358@exemplo.com
359,34,49415.0,cliente359@exemplo.com
360,62,63436.0,cliente360@exemplo.com
361,18,35963.0,cliente361@exemplo.com
362,37,42996.0,cliente362@exemplo.com
363,78,88065.0,cliente363@exemplo.com
364,26,37976.0,cliente364@exemplo.com
365,33,44005.0,cliente365@exemplo.com
366,75,66953.0,cliente366@exemplo.com
367,80,92837.0,cliente367@exemplo.com
368,57,98875.0,cliente368@exemplo.com
369,18,23266.0,cliente369@exemplo.com
370,44,59325.0,cliente370@exemplo.com
371,78,77008.0,cliente371@exemplo.com
372,74,64474.0,cliente372@exemplo.com
373,22,37732.0,cliente373@exemplo.com
374,49,69277.0,cliente374@exemplo.com
375,73,93535.0,cliente375@exemplo.com
376,49,48691.0,cliente376@exemplo.com
377,76,89904.0,cliente377@exemplo.com
378,18,28807.0,cliente378@exemplo.com
379,50,60063.0,cliente379@exemplo.com
380,43,58028.0,cliente380@exemplo.com
381,47,45063.0,cliente381@exemplo.com
382,22,20371.0,cliente382@exemplo.com
383,19,22915.0,cliente383@exemplo.com
384,25,37893.0,cliente384@exemplo.com
385,71,98459.0,cliente385@exemplo.com
386,32,51708.0,cliente386@exemplo.com
387,47,42570.0,cliente387@exemplo.com
388,44,41484.0,cliente388@exemplo.com
389,49,59313.0,cliente389@exemplo.com
390,66,94076.0,cliente390@exemplo.com
391,27,31045.0,cliente391@exemplo.com
392,64,98729.0,cliente392@exemplo.com
393,74,67920.0,cliente393@exemplo.com
394,65,68060.0,cliente394@exemplo.com
395,32,53385.0,cliente395@exemplo.com
396,27,30345.0,cliente396@exemplo.com
397,67,87728.0,cliente397@exemplo.com
398,47,45537.0,cliente398@exemplo.com
399,51,97809.0,cliente399@exemplo.com
400,59,78997.0,cliente400@exemplo.com
401,43,62863.0,cliente401@exemplo.com
402,66,82030.0,cliente402@exemplo.com
403,47,54891.0,cliente403@exemplo.com
404,63,89942.0,cliente404@exemplo.com
405,58,66904.0,cliente405@exemplo.com
406,25,31261.0,cliente406@exemplo.com
407,18,31942.0,cliente407@exemplo.com
408,60,79873.0,cliente408@exemplo.com
409,56,91214.0,cliente409@exemplo.com
410,70,60547.0,cliente410@exemplo.com
411,18,33266.0,cliente411@exemplo.com
412,29,25611.0,cliente412@exemplo.com
413,40,56199.0,cliente413@exemplo.com
414,69,86079.0,cliente414@exemplo.com
415,21,33687.0,cliente415@exemplo.com
416,59,60394.0,cliente416@exemplo.com
417,79,61764.0,cliente417@exemplo.com
418,57,68350.0,cliente418@exemplo.com
419,59,91901.0,cliente419@exemplo.com
420,40,62226.0,cliente420@exemplo.com
421,43,57825.0,cliente421@exemplo.com
422,71,96851.0,cliente422@exemplo.com
423,46,48713.0,cliente423@exemplo.com
424,54,86113.0,cliente424@exemplo.com
425,47,42374.0,cliente425@exemplo.com
426,34,49344.0,cliente426@exemplo.com
427,21,28827.0,cliente427@exemplo.com
428,77,67694.0,cliente428@exemplo.com
429,18,32176.0,cliente429@exemplo.com
430,65,60429.0,cliente430@exemplo.com
431,62,70152.0,cliente431@exemplo.com
432,65,78616.0,cliente432@exemplo.com
433,38,61790.0,cliente433@exemplo.com
434,19,23575.0,cliente434@exemplo.com
435,44,53839.0,cliente435@exemplo.com
436,25,30286.0,cliente436@exemplo.com
437,34,65144.0,cliente437@exemplo.com
438,47,61946.0,cliente438@exemplo.com
439,51,60258.0,cliente439@exemplo.com
440,26,25713.0,cliente440@exemplo.com
441,54,90946.0,cliente441@exemplo.com
442,67,62886.0,cliente442@exemplo.com
443,22,32692.0,cliente443@exemplo.com
444,62,70820.0,cliente444@exemplo.com
445,71,60722.0,cliente445@exemplo.com
446,46,62995.0,cliente446@exemplo.com
447,53,82011.0,cliente447@exemplo.com
448,30,62152.0,cliente448@exemplo.com
449,27,20186.0,cliente449@exemplo.com
450,69,91130.0,cliente450@exemplo.com
451,80,92243.0,cliente451@exemplo.com
452,74,70688.0,cliente452@exemplo.com
453,43,60160.0,cliente453@exemplo.com
454,76,76049.0,cliente454@exemplo.com
455,34,69856.0,cliente455@exemplo.com
456,53,98433.0,cliente456@exemplo.com
457,42,42497.0,cliente457@exemplo.com
458,23,35475.0,cliente458@exemplo.com
459,55,88674.0,cliente459@exemplo.com
460,43,61694.0,cliente460@exemplo.com
461,79,64751.0,cliente461@exemplo.com
462,38,42122.0,cliente462@exemplo.com
463,66,80801.0,cliente463@exemplo.com
464,77,76052.0,cliente464@exemplo.com
465,64,76103.0,cliente465@exemplo.com
466,27,30396.0,cliente466@exemplo.com
467,53,60686.0,cliente467@exemplo.com
468,59,82987.0,cliente468@exemplo.com
469,30,40451.0,cliente469@exemplo.com
470,28,33365.0,cliente470@exemplo.com
471,68,88697.0,cliente471@exemplo.com
472,64,83884.0,cliente472@exemplo.com
473,26,30010.0,cliente473@exemplo.com
474,71,92239.0,cliente474@exemplo.com
475,74,81559.0,cliente475@exemplo.com
476,26,20481.0,cliente476@exemplo.com
477,56,61098.0,cliente477@exemplo.com
478,49,48926.0,cliente478@exemplo.com
479,74,73175.0,cliente479@exemplo.com
480,35,44503.0,cliente480@exemplo.com
481,18,20016.0,cliente481@exemplo.com
482,67,74335.0,cliente482@exemplo.com
483,50,68739.0,cliente483@exemplo.com
484,48,49697.0,cliente484@exemplo.com
485,73,82811.0,cliente485@exemplo.com
486,61,97929.0,cliente486@exemplo.com
487,31,47051.0,cliente487@exemplo.com
488,65,74011.0,cliente488@exemplo.com
489,77,83759.0,cliente489@exemplo.com
490,72,66299.0,cliente490@exemplo.com
491,20,26322.0,cliente491@exemplo.com
492,41,42493.0,cliente492@exemplo.com
493,46,58356.0,cliente493@exemplo.com
494,37,44329.0,cliente494@exemplo.com
495,68,83677.0,cliente495@exemplo.com
496,76,89543.0,cliente496@exemplo.com
497,76,85110.0,cliente497@exemplo.com
498,64,64222.0,cliente498@exemplo.com
499,38,66974.0,cliente499@exemplo.com
500,35,43523.0,cliente500@exemplo.com
501,33,43139.0,cliente501@exemplo.com
502,28,23961.0,cliente502@exemplo.com
503,79,73659.0,cliente503@exemplo.com
504,41,49053.0,cliente504@exemplo.com
505,76,66733.0,cliente505@exemplo.com
506,49,43096.0,cliente506@exemplo.com
507,74,96740.0,cliente507@exemplo.com
508,60,84990.0,cliente508@exemplo.com
509,40,46126.0,cliente509@exemplo.com
510,70,92286.0,cliente510@exemplo.com
511,26,20104.0,cliente511@exemplo.com
512,32,59820.0,cliente512@exemplo.com
513,36,68623.0,cliente513@exemplo.com
514,59,84772.0,cliente514@exemplo.com
515,46,60038.0,cliente515@exemplo.com
516,36,66975.0,cliente516@exemplo.com
517,67,71842.0,cliente517@exemplo.com
518,61,72696.0,cliente518@exemplo.com
519,24,23493.0,cliente519@exemplo.com
520,31,54871.0,cliente520@exemplo.com
521,41,43538.0,cliente521@exemplo.com
522,37,59789.0,cliente522@exemplo.com
523,70,65186.0,cliente523@exemplo.com
524,27,22765.0,cliente524@exemplo.com
525,25,24433.0,cliente525@exemplo.com
526,39,50652.0,cliente526@exemplo.com
527,78,99967.0,cliente527@exemplo.com
528,57,62154.0,cliente528@exemplo.com
529,63,85246.0,cliente529@exemplo.com
530,47,58506.0,cliente530@exemplo.com
531,59,84292.0,cliente531@exemplo.com
532,47,40807.0,cliente532@exemplo.com
533,50,71041.0,cliente533@exemplo.com
534,29,32208.0,cliente534@exemplo.com
535,74,73127.0,cliente535@exemplo.com
536,25,35785.0,cliente536@exemplo.com
537,28,36639.0,cliente537@exemplo.com
538,40,48102.0,cliente538@exemplo.com
539,28,36248.0,cliente539@exemplo.com
540,55,75580.0,cliente540@exemplo.com
541,71,82380.0,cliente541@exemplo.com
542,67,69833.0,cliente542@exemplo.com
543,19,27988.0,cliente543@exemplo.com
544,63,67359.0,cliente544@exemplo.com
545,30,63306.0,cliente545@exemplo.com
546,66,93444.0,cliente546@exemplo.com
547,80,87896.0,cliente547@exemplo.com
548,21,22786.0,cliente548@exemplo.com
549,44,64198.0,cliente549@exemplo.com
550,27,32159.0,cliente550@exemplo.com
551,67,83974.0,cliente551@exemplo.com
552,66,71504.0,cliente552@exemplo.com
553,31,53012.0,cliente553@exemplo.com
554,57,90528.0,cliente554@exemplo.com
555,43,46234.0,cliente555@exemplo.com
556,69,60377.0,cliente556@exemplo.com
557,41,45700.0,cliente557@exemplo.com
558,26,38499.0,cliente558@exemplo.com
559,72,60193.0,cliente559@exemplo.com
560,73,84579.0,cliente560@exemplo.com
561,29,35271.0,cliente561@exemplo.com
562,56,79028.0,cliente562@exemplo.com
563,80,66165.0,cliente563@exemplo.com
564,60,92993.0,cliente564@exemplo.com
565,77,81713.0,cliente565@exemplo.com
566,50,74242.0,cliente566@exemplo.com
567,52,88907.0,cliente567@exemplo.com
568,72,95694.0,cliente568@exemplo.com
569,41,50296.0,cliente569@exemplo.com
570,57,83540.0,cliente570@exemplo.com
571,78,80739.0,cliente571@exemplo.com
572,28,22062.0,cliente572@exemplo.com
573,26,23612.0,cliente573@exemplo.com
574,45,40475.0,cliente574@exemplo.com
575,36,58644.0,cliente575@exemplo.com
576,41,46165.0,cliente576@exemplo.com
577,79,83724.0,cliente577@exemplo.com
578,27,32101.0,cliente578@exemplo.com
579,51,81835.0,cliente579@exemplo.com
580,50,71520.0,cliente580@exemplo.com
581,25,26022.0,cliente581@exemplo.com
582,36,47240.0,cliente582@exemplo.com
583,68,81186.0,cliente583@exemplo.com
584,52,98671.0,cliente584@exemplo.com
585,23,34894.0,cliente585@exemplo.com
586,33,52694.0,cliente586@exemplo.com
587,38,66477.0,cliente587@exemplo.com
588,25,37258.0,cliente588@exemplo.com
589,41,50814.0,cliente589@exemplo.com
590,62,87927.0,cliente590@exemplo.com
591,23,36929.0,cliente591@exemplo.com
592,24,26812.0,cliente592@exemplo.com
593,25,31524.0,cliente593@exemplo.com
594,38,58559.0,cliente594@exemplo.com
595,45,45143.0,cliente595@exemplo.com
596,22,32547.0,cliente596@exemplo.com
597,75,60737.0,cliente597@exemplo.com
598,64,81335.0,cliente598@exemplo.com
599,47,67994.0,cliente599@exemplo.com
600,71,60451.0,cliente600@exemplo.com
601,37,54939.0,cliente601@exemplo.com
602,30,59609.0,cliente602@exemplo.com
603,77,74322.0,cliente603@exemplo.com
604,25,31441.0,cliente604@exemplo.com
605,24,30294.0,cliente605@exemplo.com
606,31,52313.0,cliente606@exemplo.com
607,58,83476.0,cliente607@exemplo.com
608,49,67306.0,cliente608@exemplo.com
609,50,99380.0,cliente609@exemplo.com
610,20,21680.0,cliente610@exemplo.com
611,44,67660.0,cliente611@exemplo.com
612,63,87420.0,cliente612@exemplo.com
613,72,77689.0,cliente613@exemplo.com
614,46,57154.0,cliente614@exemplo.com
615,77,89964.0,cliente615@exemplo.com
616,52,96800.0,cliente616@exemplo.com
617,42,46926.0,cliente617@exemplo.com
618,71,97019.0,cliente618@exemplo.com
619,61,63151.0,cliente619@exemplo.com
620,39,52430.0,cliente620@exemplo.com
621,72,85155.0,cliente621@exemplo.com
622,72,71885.0,cliente622@exemplo.com
623,77,81263.0,cliente623@exemplo.com
624,48,47209.0,cliente624@exemplo.com
625,33,41487.0,cliente625@exemplo.com
626,20,30439.0,cliente626@exemplo.com
627,30,44704.0,cliente627@exemplo.com
628,46,60690.0,cliente628@exemplo.com
629,30,69239.0,cliente629@exemplo.com
630,35,55535.0,cliente630@exemplo.com
631,64,83784.0,cliente631@exemplo.com
632,27,33997.0,cliente632@exemplo.com
633,24,24916.0,cliente633@exemplo.com
634,80,81161.0,cliente634@exemplo.com
635,46,58855.0,cliente635@exemplo.com
636,46,51081.0,cliente636@exemplo.com
637,75,61487.0,cliente637@exemplo.com
638,76,84023.0,cliente638@exemplo.com
639,36,60247.0,cliente639@exemplo.com
640,33,54102.0,cliente640@exemplo.com
641,29,32120.0,cliente641@exemplo.com
642,27,37425.0,cliente642@exemplo.com
643,24,27723.0,cliente643@exemplo.com
644,56,71762.0,cliente644@exemplo.com
645,63,62525.0,cliente645@exemplo.com
646,76,83906.0,cliente646@exemplo.com
647,37,42568.0,cliente647@exemplo.com
648,75,62903.0,cliente648@exemplo.com
649,62,80012.0,cliente649@exemplo.com
650,37,54788.0,cliente650@exemplo.com
651,35,58879.0,cliente651@exemplo.com
652,46,62187.0,cliente652@exemplo.com
653,30,55802.0,cliente653@exemplo.com
654,75,93724.0,cliente654@exemplo.com
655,58,61824.0,cliente655@exemplo.com
656,61,82977.0,cliente656@exemplo.com
657,18,25741.0,cliente657@exemplo.com
658,36,60670.0,cliente658@exemplo.com
659,48,50061.0,cliente659@exemplo.com
660,28,36648.0,cliente660@exemplo.com
661,38,47363.0,cliente661@exemplo.com
662,78,95016.0,cliente662@exemplo.com
663,50,85051.0,cliente663@exemplo.com
664,78,99653.0,cliente664@exemplo.com
665,21,32845.0,cliente665@exemplo.com
